grid,column,row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,19,0,41,27.67770288,14.93572917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,19,0.34,20,18.28588837,14.52465278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,19,0.34,17,24.39407387,13.81357639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,20,0.5,51,9.502259357,15.4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,20,0.26,52,11.31044485,14.59142361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,20,0.17,25,19.81863034,15.48034722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,20,0.09,21,16.32681583,15.36927083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,20,0.17,40,9.935001323,14.15819444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,20,0,19,10.14318681,15.04711806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,20,0.09,20,25.75137231,15.03604167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,20,0.26,44,23.96774329,14.31388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,1,-0.71,33,28.49355124,13.11388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,1,-0.77,42,24.60413593,12.03628472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,1,-0.87,24,18.41472061,12.33368056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,1,-0.77,21,22.6253053,12.13107639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,1,-0.77,30,14.13588999,12.12847222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,1,-0.82,28,21.64647467,12.52586806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,1,-0.64,24,16.05705936,12.52326389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,1,-0.57,30,17.56764405,12.12065972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,2,-0.64,42,36.47822874,13.21805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,-0.64,25,30.98881342,11.71545139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,2,-0.64,24,21.09939811,11.41284722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,2,-0.71,26,22.9099828,15.01024306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,2,-0.87,37,17.52056748,12.20763889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,2,-0.91,29,16.53115217,12.20503472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,2,-0.91,24,20.94173686,12.10243056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,2,-0.87,33,13.95232155,12.59982639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,3,-0.64,31,25.26290623,12.49722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,3,-0.71,22,30.97349092,12.99461806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,3,-0.57,31,26.28407561,12.39201389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,3,-0.57,30,20.69466029,12.48940972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,3,-0.57,27,19.40524498,12.08680556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,3,-0.5,43,19.71582967,12.38420139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,3,-0.64,26,15.52641436,12.28159722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,3,-0.57,28,19.53699904,12.97899306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,4,-0.57,24,40.34758373,11.57638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,4,-0.5,27,24.35816842,12.77378472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,4,-0.5,31,19.7687531,12.17118056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,4,-0.57,27,22.37933779,12.96857639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,4,-0.57,32,22.88992248,12.86597222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,4,-0.57,24,23.60050717,12.86336806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,4,-0.64,24,18.71109185,11.76076389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
