Grid,Column,Row,Afroaster erucifolius,Alepidea natalensis,Alepidea setifera,Alepidea thodei,New alternate anthospermum,Anthospermum herbaceum,Anthospermum hispidulum,Anthospermum round,Anthoxanthum ecklonii,Arctotis arctoides,Argyrolobium marginatum,Athrixia fontana,Berkheya multijuga,Bulbostylis humulis,Bupleurum mundii,Carex killickii,Carex zuluensis,Cerastium arabidis,Commelina orchid,Corycium dracomontanum,Cotula hispida,Crassula lanceolata,Crassula natans,Crassula peploides,Crassula setulosa,Crassula tuberella,Craterocapsa tarsodes,Delosperma obtusum,Disa cephalotes,Disa fragrans,Dragon plant,Erica woodii,Erica woody white stem,Eumorphia prostrata,Felicia rosulata,Festuca caprina,Festuca costata,Festuca scabra,Ficinia stolonifera,Gazania krebsiana,Geranium multisectum,Geum capense,Glumicalyx lesuticus,Glumicalyx nutans,Glumicaylx flanaganii,Gnidia baurii,Grey daisy,Grey feathery daisy,Heichrysum trilineatum,Helichrysum albo-brunneum,Helichrysum bellum,Helichrysum flanaganii,Helichrysum gold flat inflorescence,Helichrysum linneatum,Helichrysum monticola,Helichrysum sessiloides,Helichrysum sp.1,Helichrysum subglomeratum,Hesperantha baurii,Hirpicium armerioides,Irid sandpaper,Isolepis sp.,Kniphofia ritualis,Limosella vesiculosa,Lobelia preslii,Long stalk 3 vein,Luzula africana,Merxmuellera drakensbergensis,Morph irid,Ornithogalum cf. juncifolium ,Oxalis obliquifolia,Pentameris airoides,Poa binata,Psammotropha mucronata,Purple bottom aster,Red stem herb,Romulea thodei,Ruschia sp.,Satyrium longicauda,Scabiosa columbaria,Sebaea sedoides,Senecio achilleifolius,Senecio asperulus,Senecio gramineus,Senecio harveianus,Senecio hastatus,Senecio macrocephalus,Senecio midvein,Senecio Sp1.,Senecio speciosus,Square-leaf morea,Succulent albuca,Succulent thistle,Tenaxia disticha,Thesium sp.,Ursinia montana,Wirey morea,Woody gazania,Wurmbea burttii,Zaluzianskya Sp.1
6,H,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,30,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,,,,,,,,,,,0.5,,,0.5,,,,,,,1,,,,,,
6,A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,30,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,0.5,,15,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
6,B,8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,0.5,,15,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6,C,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,35,,,,,,,,,,,,,,3,,,,,,,1,,,,,,
6,D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,25,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
6,E,8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,8,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,
6,F,8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1,0.5,10,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,10,,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,
6,G,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,10,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,10,,,,,,,,,,,0.5,,,1,,,,,,,1,,,,,,
6,H,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,30,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.5,,15,,,,,,,,,,,0.5,,,1,,,,,,,0.5,,,,,,
6,A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.5,,20,,,,,,,,,,,,,,4,,,,,,,,,,,,,
6,B,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,0.5,0.5,,15,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,C,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,15,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
6,D,9,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1,0.5,3,,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.5,,60,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
6,E,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,15,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,15,,,,,,,,,,,,,,1,,,,,,,3,,,,,,
6,F,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,0.5,,5,,,,,,,,,,,0.5,,,2,,,,,,,3,,,,,,
6,G,9,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,4,0.5,10,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
6,H,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,0.5,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6,A,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,
6,B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,,,0.5,,10,,,,,,,,,,,,,,4,,,,,,,,,,,,,
6,C,10,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,60,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,D,10,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,0.5,50,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.5,,20,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
6,E,10,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,0.5,0.5,50,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,0.5,,3,,,,,,,,,0.5,,,,,2,,,,,,,2,,,,,,
6,F,10,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,2,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.5,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,
