Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
425,11/11/2023,1,D9,Merxmuellera drakensbergensis,14,93.4,1103,0.22,23.11,0.83,1,64.7,1.946,0.03007728,BG_20231111_009,,
426,11/11/2023,1,C10,Festuca costata,17,59.1,1069,0.16,8.65,2.91,1,22.5,3.469,0.154177778,BG_20231111_010,,
427,11/11/2023,1,A8,Pentameris airoides,4,7.2,1084,0.1,2.05,1.83,1,2.4,0.528,0.22,BG_20231111_010,,
428,11/11/2023,1,A6,Tenaxia disticha,7,31.1,1016,0.08,1.42,1.65,1,12.9,2.172,0.168372093,BG_20231111_010,,
429,11/11/2023,1,F7,Festuca costata,15,58.8,1065,0.15,12.03,3.83,1,27.3,3.253,0.119157509,BG_20231111_011,,
430,11/11/2023,1,E8,Tenaxia disticha,10,12.8,1147,0.16,6.89,0.49,1,7.4,0.58,0.078378378,BG_20231111_011,,
431,11/11/2023,1,G4,Merxmuellera drakensbergensis,21,56.2,1035,0.21,28.9,0.74,1,35.6,1.23,0.034550562,BG_20231111_011,,
432,11/11/2023,3,B2,Craterocapsa tarsodes,1,9.6,864,0.14,,,5,2.2,0.456,0.207272727,BG_20231111_012,,
433,11/11/2023,3,B2,Crassula setulosa,1,38,1014,0.72,,,6,6.6,0.741,0.112272727,BG_20231111_012,,
434,11/11/2023,3,D2,Scabiosa columbaria,1,34.5,1012,0.25,,,1,9.4,1.016,0.108085106,BG_20231111_012,,
435,11/11/2023,1,H7,Erica woody white stem,13,7.7,983,0.24,,,25,4.9,0.352,0.071836735,BG_20231111_013,,
436,11/11/2023,1,H9,Butterfly flower,12,6.5,970,0.21,,,4,2.8,0.275,0.098214286,BG_20231111_013,,
437,11/11/2023,3,C1,Ursinia montana,2,7.1,1160,0.4,,,1,1.5,0.158,0.105333333,BG_20231111_013,,
438,11/11/2023,1,E14,Craterocapsa tarsodes,1,5.9,911,0.23,,,2,1.2,0.287,0.239166667,BG_20231111_014,,
439,11/11/2023,1,G16,Ursinia montana,1,7.2,976,0.36,,,1,2.8,0.159,0.056785714,BG_20231111_014,,
440,11/11/2023,3,H2,Gnidia baurii,3,6.6,991,0.15,,,4,2.4,0.264,0.11,BG_20231111_014,,
441,11/11/2023,3,C1,Crassula setulosa,0.5,27.7,792,0.8,,,6,4.6,0.54,0.117391304,BG_20231111_015,,
442,11/11/2023,3,E1,Ficinia stolonifera,3,9.7,940,0.21,,,2,3.8,0.38,0.1,BG_20231111_015,,
443,11/11/2023,3,H2,Felicia rosulata,0.5,37.4,938,0.52,,,1,9.4,0.757,0.080531915,BG_20231111_015,,
444,11/11/2023,1,H15,Helichrysum monticola,2,39.2,898,0.2,,,1,8.5,1.975,0.232352941,BG_20231111_016,,
445,11/11/2023,3,E1,Scabiosa columbaria,1,18.8,980,0.27,,,1,4.5,0.588,0.130666667,BG_20231111_016,,
446,11/11/2023,1,E12,Senecio macrocephalus,3,1172.6,947,0.72,,,1,86.1,15.638,0.181626016,BG_20231111_016,,
447,11/11/2023,3,H2,Carex zuluensis,4,16.2,1048,0.13,,,1,7.1,0.781,0.11,BG_20231111_017,,
448,11/11/2023,1,A14,Felicia rosulata,0.5,102.2,906,0.6,,,1,20.8,1.719,0.082644231,BG_20231111_017,,
449,11/11/2023,3,D2,Senecio hastatus,1,13.4,877,0.35,,,1,2.7,0.265,0.098148148,BG_20231111_017,,
450,11/11/2023,3,F2,Thesium sp.,3,5.8,913,0.38,,,3,2.2,0.152,0.069090909,BG_20231111_018,,
451,11/11/2023,3,D2,Helichrysum subglomeratum,3,22.3,1107,0.18,,,1,5.3,0.816,0.153962264,BG_20231111_018,,
452,11/11/2023,3,B2,Felicia rosulata,1,144.2,1105,0.59,,,1,37.3,2.382,0.06386059,BG_20231111_018,,
453,11/11/2023,3,F2,Craterocapsa tarsodes,0.5,6.5,873,0.16,,,3,1.6,0.337,0.210625,BG_20231111_019,,
454,11/11/2023,1,B7,Ficinia stolonifera,7,10.7,1035,0.06,,,1,4.7,0.334,0.07106383,BG_20231111_019,,
455,11/11/2023,3,B2,Ficinia stolonifera,3,5.1,972,0.08,,,1,1.1,0.155,0.140909091,BG_20231111_019,,
456,11/11/2023,3,F2,Ursinia montana,1,5.4,1065,0.37,,,1,1.8,0.118,0.065555556,BG_20231111_020,,
457,11/11/2023,3,H2,Helichrysum subglomeratum,3,16.2,1274,0.21,,,1,4.3,0.644,0.149767442,BG_20231111_020,,
458,11/11/2023,3,G1,Ursinia montana,1.5,8.2,1234,0.42,,,2,1.8,0.207,0.115,BG_20231111_020,,
459,11/11/2023,1,A12,Psammotropha mucronata,3,5.3,936,0.13,,,7,0.7,0.271,0.387142857,BG_20231111_021,,
460,11/11/2023,1,F8,Senecio achilleifolius,6,5.9,1192,0.25,,,1,1.8,0.144,0.08,BG_20231111_021,,
461,11/11/2023,1,B11,Cotula hispida,3,24.1,1057,0.14,,,1,3.9,0.577,0.147948718,BG_20231111_021,,
462,11/11/2023,3,E1,Craterocapsa tarsodes,0.5,6.2,898,0.43,,,1,1.3,0.238,0.183076923,BG_20231111_022,2 leaves weighed and 2 leaves on scan,
463,11/11/2023,3,G1,Gazania krebsiana,3,43.9,1215,0.46,,,1,11.5,0.967,0.084086957,BG_20231111_022,,
464,11/11/2023,3,G1,Felicia rosulata,0.5,95.5,866,0.68,,,1,21.6,1.735,0.080324074,BG_20231111_022,,
465,11/11/2023,3,F2,Ficinia stolonifera,5,8.6,974,0.23,,,1,3.4,0.301,0.088529412,BG_20231111_023,,
466,11/11/2023,1,B17,Helichrysum monticola,2,57.5,1097,0.2,,,1,11.9,2.047,0.172016807,BG_20231111_023,,
467,11/11/2023,3,E1,Helichrysum subglomeratum,3,11.9,1143,0.16,,,1,3.2,0.473,0.1478125,BG_20231111_023,,
468,11/11/2023,1,E8,Helichrysum trillineatum,13,10.1,1162,0.29,,,2,2.5,0.313,0.1252,BG_20231111_024,,
469,11/11/2023,3,E1,Senecio hastatus,1,17.6,1086,0.67,,,1,3.5,0.335,0.095714286,BG_20231111_024,,
470,11/11/2023,1,C16,Alepidea setifera,3,32.6,1124,0.52,,,1,7.5,0.983,0.131066667,BG_20231111_024,,
471,11/11/2023,3,E1,Sebaea sedoides,1,8.8,873,0.22,,,2,2.3,0.399,0.173478261,BG_20231111_025,,
472,11/11/2023,3,A1,Helichrysum monticola,2,28.2,925,0.2,,,1,6.3,1.201,0.190634921,BG_20231111_025,,
473,11/11/2023,3,A1,Felicia rosulata,0.5,103,864,0.81,,,1,17,2.008,0.118117647,BG_20231111_025,,
474,11/11/2023,1,F13,Senecio sp.1,5,47.9,1135,0.24,,,1,15.7,1.592,0.101401274,BG_20231111_026,,
475,11/11/2023,3,A1,Helichrysum subglomeratum,3,14,1308,0.21,,,1,4,0.553,0.13825,BG_20231111_026,,
476,11/11/2023,1,B15,Helichrysum subglomeratum,3,34.7,1247,0.32,,,1,10,1.118,0.1118,BG_20231111_026,,
477,11/11/2023,1,G12,Senecio macrocephalus,1,289.3,1137,0.87,,,1,24.1,4.197,0.174149378,BG_20231111_027,,
478,11/11/2023,3,A1,Hirpicium armerioides,2,6.9,1376,0.45,,,1,1.8,0.155,0.086111111,BG_20231111_027,,
479,11/11/2023,1,A10,Alepidea setifera,0.5,42.1,124,0.31,,,1,9.7,1.229,0.126701031,BG_20231111_027,,
480,11/11/2023,1,H5,Senecio hastatus,4,94.4,989,0.46,,,1,13.7,1.835,0.133941606,BG_20231111_028,,
481,11/11/2023,3,G1,Senecio hastatus,1,46.2,976,0.56,,,1,7.5,0.794,0.105866667,BG_20231111_028,,
482,11/11/2023,1,G6,Helichrysum subglomeratum,3,9.5,1200,0.56,,,1,2.5,0.402,0.1608,BG_20231111_028,,
483,11/11/2023,1,C6,Pentameris airoides,1,5,1044,0.12,,,2,1.6,0.334,0.20875,BG_20231111_029,Too small for FTT,
484,11/11/2023,1,C4,Senecio macrocephalus,1,182.8,917,0.57,,,1,18.2,2.78,0.152747253,BG_20231111_029,,
485,11/11/2023,1,D5,Senecio achilleifolius,9,9.1,855,0.29,,,2,3.8,0.305,0.080263158,BG_20231111_029,,
486,11/11/2023,3,G1,Ficinia stolonifera,5,7.8,1097,0.28,,,2,3.2,0.23,0.071875,BG_20231111_030,,
487,11/11/2023,3,C1,Thesium sp.,1,6.4,1048,0.42,,,2,1.7,0.111,0.065294118,BG_20231111_030,,
488,11/11/2023,1,E10,Helichrysum subglomeratum,5,43.6,1257,0.27,,,1,9,1.528,0.169777778,BG_20231111_030,,
489,11/11/2023,3,B2,Carex zuluensis,3,20.3,942,0.15,,,1,9.7,1.021,0.105257732,BG_20231111_031,,
490,11/11/2023,1,F17,Cotula hispida,3,29,1097,0.58,,,1,6.4,0.869,0.13578125,BG_20231111_031,,
491,11/11/2023,1,F5,Crassula setulosa,2,83.6,746,0.25,,,6,14.9,1.47,0.098657718,BG_20231111_031,,
492,11/11/2023,3,B2,Scabiosa columbaria,1,16.6,989,0.44,,,1,4.2,0.469,0.111666667,BG_20231111_032,,
493,11/11/2023,3,C1,Gazania krebsiana,3,15.9,1035,0.68,,,1,4.8,0.46,0.095833333,BG_20231111_032,,
494,11/11/2023,3,A1,Scabiosa columbaria,1.5,34.1,997,0.35,,,1,8.2,1.056,0.128780488,BG_20231111_032,,
495,11/11/2023,3,D2,Gazania krebsiana,3,32.7,923,0.72,,,1,8,0.718,0.08975,BG_20231111_033,,
496,11/11/2023,3,A1,Ficinia stolonifera,6,6.6,913,0.28,,,1,3.3,0.26,0.078787879,BG_20231111_033,,
497,11/11/2023,3,B2,Senecio hastatus,0.5,17.4,968,0.81,,,1,3.4,0.337,0.099117647,BG_20231111_033,,
498,11/11/2023,3,H2,Helichrysum monticola,1.5,25.7,1004,0.2,,,1,5.5,1.245,0.226363636,BG_20231111_034,,
499,11/11/2023,3,F2,Pentameris airoides,1,6.1,1018,0.07,,,2,2.2,0.405,0.184090909,BG_20231111_034,,
500,11/11/2023,1,C14,Hirpicium armerioides,4,17.9,1002,0.36,,,1,3.9,0.435,0.111538462,BG_20231111_034,,
501,11/11/2023,1,A4,Craterocapsa tarsodes,3,5.6,976,0.16,,,3,1,0.276,0.276,BG_20231111_035,,
502,11/11/2023,3,G1,Psammotropha mucronata,1,7.1,894,0.06,,,13,1.5,0.347,0.231333333,BG_20231111_035,10 weighed but 13 scaned ,
503,11/11/2023,3,C1,Buplerum mundi,6,12,,0.11,,,1,4.6,0.436,0.094782609,BG_20231111_035,Chlorophyll meter stopped working ,
504,11/11/2023,3,C1,Erica woodii,3,6.2,,0.07,,,60,2.1,0.286,0.136327286,BG_20231111_036,34 leaves weighed but 60 on scan,
505,13/11/2023,3,B14,Merxmuellera drakensbergensis,10,29.9,,0.59,21.86,0.96,1,6.3,0.62,0.098412698,BG_20231113_001,,
506,13/11/2023,3,E16,Festuca costata,11,35,,0.33,11.23,3.34,1,13.2,1.942,0.147121212,BG_20231113_001,,
507,13/11/2023,3,C13,Merxmuellera drakensbergensis,16,127.6,,0.79,34.92,0.85,1,85.8,2.076,0.024195804,BG_20231113_001,,
508,13/11/2023,3,b17,Poa binnata,7,61.4,,0.27,6.77,3.79,1,27.3,2.694,0.098681319,BG_20231113_002,,
509,13/11/2023,3,D19,Anthoxanthum ecklonii,4,22.9,,0.14,4.88,4.51,1,5.6,1.52,0.271428571,BG_20231113_002,,
510,13/11/2023,3,D19,Festuca caprina,16,24.9,,0.33,3.73,0.33,1,12.1,0.77,0.063636364,BG_20231113_002,,
511,13/11/2023,3,B19,Merxmuellera drakensbergensis,14,30.3,,0.51,15.01,0.56,1,20.4,0.714,0.035,BG_20231113_003,,
